OBJECTID,pkey,name,station,type,entity,functional,physical_s,geometry_s,location,lane_numbe,lane_type,opperation,comm_link,project_sp,lat,lon,published_
64,8212,7011,S1799,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,U.S.169 NB/T.H.610,1,Mainline,Active,L726,2771-38,45.12852842,-93.39030349,2025-04-29
65,6053,7012,S1799,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,U.S.169 NB/T.H.610,2,Mainline,Active,L726,2771-38,45.12852951,-93.39034895,2025-04-29
66,11354,7794,S1954,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/I-94,1,Mainline,Active,L1857,2771-37,45.1375022,-93.48440037,2025-04-29
67,11734,7795,S1954,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/I-94,2,Mainline,Active,L1857,2771-37,45.13755279,-93.48440046,2025-04-29
68,2111,7796,S1955,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Maple Grove Pkwy,1,Mainline,Active,L1859,2771-37,45.13759602,-93.47171983,2025-04-29
69,9932,7797,S1955,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Maple Grove Pkwy,2,Mainline,Active,L1859,2771-37,45.13764066,-93.4717157,2025-04-29
70,4080,7798,S1956,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Fernbrook Ln,1,Mainline,Active,L1860,2771-37,45.1375469,-93.46151971,2025-04-29
71,4897,7799,S1956,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Fernbrook Ln,2,Mainline,Active,L1860,2771-37,45.13759451,-93.46151977,2025-04-29
72,10897,7800,S1957,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Elm Creek Blvd,1,Mainline,Active,L1862,2771-37,45.13469752,-93.44980274,2025-04-29
73,11600,7801,S1957,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Elm Creek Blvd,2,Mainline,Active,L1862,2771-37,45.13474219,-93.44975234,2025-04-29
74,11143,7802,S1958,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Elm Creek Blvd,1,Mainline,Active,L1862,2771-37,45.13493275,-93.44957178,2025-04-29
75,11597,7803,S1958,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Elm Creek Blvd,2,Mainline,Active,L1862,2771-37,45.13488809,-93.44960956,2025-04-29
